City,State,Provider ID,Hospital Name,County Name,HCAHPS Question Type,Patient Survey Star Rating (out of 5),Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date,,
LAKE CITY,IA,161350,STEWART MEMORIAL COMMUNITY HOSPITAL,CALHOUN,Summary star rating,4,119,41,4/1/2016,3/31/2017,,
LE MARS,IA,161368,FLOYD VALLEY HOSPITAL,PLYMOUTH,Summary star rating,4,147,35,4/1/2016,3/31/2017,,
LEON,IA,161340,DECATUR COUNTY HOSPITAL,DECATUR,Summary star rating,0,52,43,4/1/2016,3/31/2017,,
MANCHESTER,IA,161343,REGIONAL MEDICAL CENTER,DELAWARE,Summary star rating,4,240,36,4/1/2016,3/31/2017,,
MANNING,IA,161332,MANNING REGIONAL HEALTHCARE CENTER,CARROLL,Summary star rating,0,FEWER THAN 50,27,4/1/2016,3/31/2017,,
MAQUOKETA,IA,161329,JACKSON COUNTY REGIONAL HEALTH CENTER,JACKSON,Summary star rating,0,FEWER THAN 50,41,4/1/2016,3/31/2017,,
MARENGO,IA,161317,MARENGO MEMORIAL HOSPITAL,IOWA,Summary star rating,0,94,48,4/1/2016,3/31/2017,,
MARSHALLTOWN,IA,160001,UNITYPOINT HEALTH-MARSHALLTOWN,MARSHALL,Summary star rating,3,363,24,4/1/2016,3/31/2017,,
MASON CITY,IA,160064,MERCY MEDICAL CENTER-NORTH IOWA,CERRO GORDO,Summary star rating,3,1280,37,4/1/2016,3/31/2017,,
MISSOURI VALLEY,IA,161309,CHI HEALTH MISSOURI VALLEY,HARRISON,Summary star rating,0,52,27,4/1/2016,3/31/2017,,
MOUNT PLEASANT,IA,161356,HENRY COUNTY HEALTH CENTER,HENRY,Summary star rating,0,72,25,4/1/2016,3/31/2017,,
MUSCATINE,IA,160013,TRINITY MUSCATINE,MUSCATINE,Summary star rating,3,228,21,4/1/2016,3/31/2017,,
NEVADA,IA,161333,STORY COUNTY HOSPITAL,STORY,Summary star rating,0,73,32,4/1/2016,3/31/2017,,
NEWTON,IA,160032,SKIFF MEDICAL CENTER,JASPER,Summary star rating,4,238,32,4/1/2016,3/31/2017,,
OELWEIN,IA,161338,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN,FAYETTE,Summary star rating,0,FEWER THAN 50,32,4/1/2016,3/31/2017,,
ONAWA,IA,161359,BURGESS HEALTH CENTER,MONONA,Summary star rating,4,162,30,4/1/2016,3/31/2017,,
ORANGE CITY,IA,161360,ORANGE CITY AREA HEALTH SYSTEM,SIOUX,Summary star rating,4,194,37,4/1/2016,3/31/2017,,
OSCEOLA,IA,161348,CLARKE COUNTY HOSPITAL,CLARKE,Summary star rating,0,55,28,4/1/2016,3/31/2017,,
OSKALOOSA,IA,161379,MAHASKA  HEALTH PARTNERSHIP,MAHASKA,Summary star rating,4,219,36,4/1/2016,3/31/2017,,
OTTUMWA,IA,160089,OTTUMWA REGIONAL HEALTH CENTER,WAPELLO,Summary star rating,3,315,24,4/1/2016,3/31/2017,,
PELLA,IA,161367,PELLA REGIONAL HEALTH CENTER,MARION,Summary star rating,4,381,33,4/1/2016,3/31/2017,,
PERRY,IA,161322,DALLAS COUNTY HOSPITAL,DALLAS,Summary star rating,0,FEWER THAN 50,34,4/1/2016,3/31/2017,,
PRIMGHAR,IA,161300,BAUM HARMON MERCY HOSPITAL,OBRIEN,Summary star rating,0,FEWER THAN 50,44,4/1/2016,3/31/2017,,
RED OAK,IA,161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,MONTGOMERY,Summary star rating,4,160,39,4/1/2016,3/31/2017,,
ROCK RAPIDS,IA,161321,SANFORD ROCK RAPIDS MEDICAL CENTER,LYON,Summary star rating,0,FEWER THAN 50,36,4/1/2016,3/31/2017,,
ROCK VALLEY,IA,161336,HEGG MEMORIAL HEALTH CENTER,SIOUX,Summary star rating,0,FEWER THAN 50,29,4/1/2016,3/31/2017,,
SAC CITY,IA,161370,LORING HOSPITAL,SAC,Summary star rating,0,FEWER THAN 50,31,4/1/2016,3/31/2017,,
SHELDON,IA,161381,SANFORD SHELDON MEDICAL CENTER,OBRIEN,Summary star rating,0,94,28,4/1/2016,3/31/2017,,
SHENANDOAH,IA,161366,SHENANDOAH MEDICAL CENTER,PAGE,Summary star rating,2,101,29,4/1/2016,3/31/2017,,
SIBLEY,IA,161345,OSCEOLA COMMUNITY HOSPITAL,OSCEOLA,Summary star rating,4,129,41,4/1/2016,3/31/2017,,
SIOUX CENTER,IA,161346,SIOUX CENTER HEALTH,SIOUX,Summary star rating,4,125,30,4/1/2016,3/31/2017,,
SIOUX CITY,IA,160153,MERCY MEDICAL CENTER-SIOUX CITY,WOODBURY,Summary star rating,2,1070,29,4/1/2016,3/31/2017,,
SIOUX CITY,IA,160146,ST LUKES REGIONAL MEDICAL CENTER,WOODBURY,Summary star rating,3,627,25,4/1/2016,3/31/2017,,
SPENCER,IA,160112,SPENCER MUNICIPAL HOSPITAL,CLAY,Summary star rating,4,373,43,4/1/2016,3/31/2017,,
SPIRIT LAKE,IA,160124,LAKES REGIONAL HEALTHCARE,DICKINSON,Summary star rating,4,153,29,4/1/2016,3/31/2017,,
STORM LAKE,IA,161375,BUENA VISTA REGIONAL MEDICAL CENTER,BUENA VISTA,Summary star rating,5,236,31,4/1/2016,3/31/2017,,
VINTON,IA,161349,VIRGINIA GAY HOSPITAL,BENTON,Summary star rating,0,83,42,4/1/2016,3/31/2017,,
WASHINGTON,IA,161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,WASHINGTON,Summary star rating,0,94,36,4/1/2016,3/31/2017,,
WATERLOO,IA,160110,ALLEN HOSPITAL,BLACK HAWK,Summary star rating,4,585,33,4/1/2016,3/31/2017,,
WATERLOO,IA,160067,COVENANT MEDICAL CENTER,BLACK HAWK,Summary star rating,3,580,29,4/1/2016,3/31/2017,,
WAUKON,IA,161318,VETERANS MEMORIAL HOSPITAL,ALLAMAKEE,Summary star rating,5,132,38,4/1/2016,3/31/2017,,
WAVERLY,IA,161339,WAVERLY HEALTH CENTER,BREMER,Summary star rating,4,197,37,4/1/2016,3/31/2017,,
WEBSTER CITY,IA,161361,VAN DIEST MEDICAL CENTER,HAMILTON,Summary star rating,4,136,26,4/1/2016,3/31/2017,,
WEST BURLINGTON,IA,160057,GREAT RIVER MEDICAL CENTER,DES MOINES,Summary star rating,3,568,29,4/1/2016,3/31/2017,,
WEST UNION,IA,161316,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,FAYETTE,Summary star rating,0,92,41,4/1/2016,3/31/2017,,
WINTERSET,IA,161326,MADISON COUNTY MEMORIAL HOSPITAL,MADISON,Summary star rating,0,57,35,4/1/2016,3/31/2017,,
BLACKFOOT,ID,131325,BINGHAM MEMORIAL HOSPITAL,BINGHAM,Summary star rating,4,315,26,4/1/2016,3/31/2017,,
BOISE,ID,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,ADA,Summary star rating,3,2781,31,4/1/2016,3/31/2017,,
BOISE,ID,130006,ST LUKE'S REGIONAL MEDICAL CENTER,ADA,Summary star rating,4,2994,31,4/1/2016,3/31/2017,,
BOISE,ID,130063,TREASURE VALLEY HOSPITAL,ADA,Summary star rating,5,202,32,4/1/2016,3/31/2017,,
BURLEY,ID,131326,CASSIA REGIONAL HOSPITAL,CASSIA,Summary star rating,4,294,24,4/1/2016,3/31/2017,,
CALDWELL,ID,130014,WEST VALLEY MEDICAL CENTER,CANYON,Summary star rating,3,648,24,4/1/2016,3/31/2017,,
COEUR D'ALENE,ID,130049,KOOTENAI HEALTH,KOOTENAI,Summary star rating,4,1365,31,4/1/2016,3/31/2017,,
COTTONWOOD,ID,131321,ST MARY'S HOSPITAL,IDAHO,Summary star rating,4,264,46,4/1/2016,3/31/2017,,
DRIGGS,ID,131313,TETON VALLEY HOSPITAL,TETON,Summary star rating,0,FEWER THAN 50,33,4/1/2016,3/31/2017,,
GOODING,ID,131302,NORTH CANYON MEDICAL CENTER,GOODING,Summary star rating,5,112,32,4/1/2016,3/31/2017,,
GRANGEVILLE,ID,131315,SYRINGA GENERAL HOSPITAL,IDAHO,Summary star rating,4,105,31,4/1/2016,3/31/2017,,
IDAHO FALLS,ID,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,BONNEVILLE,Summary star rating,3,1222,22,4/1/2016,3/31/2017,,
IDAHO FALLS,ID,130065,MOUNTAIN VIEW HOSPITAL,BONNEVILLE,Summary star rating,4,346,36,4/1/2016,3/31/2017,,
JEROME,ID,131310,ST LUKE'S JEROME,JEROME,Summary star rating,0,85,24,4/1/2016,3/31/2017,,
KELLOGG,ID,131314,SHOSHONE MEDICAL CENTER,SHOSHONE,Summary star rating,0,FEWER THAN 50,26,4/1/2016,3/31/2017,,
KETCHUM,ID,131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,BLAINE,Summary star rating,5,249,32,4/1/2016,3/31/2017,,
LEWISTON,ID,130003,ST JOSEPH REGIONAL MEDICAL CENTER,NEZ PERCE,Summary star rating,3,922,37,4/1/2016,3/31/2017,,
MC CALL,ID,131312,ST LUKE'S MCCALL,VALLEY,Summary star rating,5,177,40,4/1/2016,3/31/2017,,
MONTPELIER,ID,131316,BEAR LAKE MEMORIAL HOSPITAL,BEAR LAKE,Summary star rating,0,81,36,4/1/2016,3/31/2017,,
MOSCOW,ID,131327,GRITMAN MEDICAL CENTER,LATAH,Summary star rating,4,216,25,4/1/2016,3/31/2017,,
MOUNTAIN HOME,ID,131311,ST LUKE'S ELMORE MEDICAL CENTER,ELMORE,Summary star rating,2,104,20,4/1/2016,3/31/2017,,
NAMPA,ID,130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,CANYON,Summary star rating,3,697,25,4/1/2016,3/31/2017,,
OROFINO,ID,131320,CLEARWATER VALLEY HOSPITAL & CLINICS,CLEARWATER,Summary star rating,3,229,36,4/1/2016,3/31/2017,,
POCATELLO,ID,130028,PORTNEUF MEDICAL CENTER,BANNOCK,Summary star rating,3,714,29,4/1/2016,3/31/2017,,
POST FALLS,ID,130066,NORTHWEST SPECIALTY HOSPITAL,KOOTENAI,Summary star rating,5,488,54,4/1/2016,3/31/2017,,
PRESTON,ID,131322,FRANKLIN COUNTY MEDICAL CENTER,FRANKLIN,Summary star rating,4,154,27,4/1/2016,3/31/2017,,
REXBURG,ID,130025,MADISON MEMORIAL HOSPITAL,MADISON,Summary star rating,3,521,28,4/1/2016,3/31/2017,,
RUPERT,ID,131319,MINIDOKA MEMORIAL HOSPITAL,MINIDOKA,Summary star rating,5,105,50,4/1/2016,3/31/2017,,
SALMON,ID,131305,STEELE MEMORIAL MEDICAL CENTER,LEMHI,Summary star rating,4,116,42,4/1/2016,3/31/2017,,
SANDPOINT,ID,131328,BONNER GENERAL HOSPITAL,BONNER,Summary star rating,4,374,32,4/1/2016,3/31/2017,,
SODA SPRINGS,ID,131309,CARIBOU MEMORIAL HOSPITAL,CARIBOU,Summary star rating,0,55,33,4/1/2016,3/31/2017,,
ST MARIES,ID,131317,BENEWAH COMMUNITY HOSPITAL,BENEWAH,Summary star rating,0,70,27,4/1/2016,3/31/2017,,
TWIN FALLS,ID,130002,ST LUKE'S MAGIC VALLEY RMC,TWIN FALLS,Summary star rating,3,1520,27,4/1/2016,3/31/2017,,
WEISER,ID,131307,WEISER MEMORIAL HOSPITAL,WASHINGTON,Summary star rating,0,77,36,4/1/2016,3/31/2017,,
ALEDO,IL,141304,"GENESIS MEDICAL CENTER, ALEDO",MERCER,Summary star rating,0,FEWER THAN 50,37,4/1/2016,3/31/2017,,
ALTON,IL,140002,ALTON MEMORIAL HOSPITAL,MADISON,Summary star rating,3,904,37,4/1/2016,3/31/2017,,
ALTON,IL,140052,OSF SAINT ANTHONY'S HEALTH CENTER,MADISON,Summary star rating,4,812,33,4/1/2016,3/31/2017,,
ANNA,IL,141342,UNION COUNTY HOSPITAL,UNION,Summary star rating,4,124,37,4/1/2016,3/31/2017,,
ARLINGTON HEIGHTS,IL,140252,NORTHWEST COMMUNITY HOSPITAL 1,COOK,Summary star rating,3,2291,28,4/1/2016,3/31/2017,,
AURORA,IL,140029,COPLEY MEMORIAL HOSPITAL,KANE,Summary star rating,4,854,23,4/1/2016,3/31/2017,,
AURORA,IL,140174,PRESENCE MERCY MEDICAL CENTER,KANE,Summary star rating,4,268,28,4/1/2016,3/31/2017,,
BARRINGTON,IL,140291,ADVOCATE GOOD SHEPHERD HOSPITAL,LAKE,Summary star rating,3,2043,29,4/1/2016,3/31/2017,,
BELLEVILLE,IL,140185,MEMORIAL HOSPITAL,SAINT CLAIR,Summary star rating,4,1539,28,4/1/2016,3/31/2017,,
BELLEVILLE,IL,140187,ST ELIZABETH HOSPITAL,SAINT CLAIR,Summary star rating,4,1537,27,4/1/2016,3/31/2017,,
BENTON,IL,141321,FRANKLIN HOSPITAL,FRANKLIN,Summary star rating,0,FEWER THAN 50,20,4/1/2016,3/31/2017,,
BERWYN,IL,140054,MACNEAL  HOSPITAL,COOK,Summary star rating,3,1218,29,4/1/2016,3/31/2017,,
BLOOMINGTON,IL,140162,ST JOSEPH MEDICAL CENTER,MCLEAN,Summary star rating,4,892,33,4/1/2016,3/31/2017,,
BLUE ISLAND,IL,140118,METROSOUTH MEDICAL CENTER,COOK,Summary star rating,2,554,24,4/1/2016,3/31/2017,,
BOLINGBROOK,IL,140304,ADVENTIST BOLINGBROOK HOSPITAL,WILL,Summary star rating,3,660,15,4/1/2016,3/31/2017,,
BREESE,IL,140145,ST JOSEPHS HOSPITAL,CLINTON,Summary star rating,5,365,38,4/1/2016,3/31/2017,,
CANTON,IL,140001,GRAHAM HOSPITAL ASSOCIATION,FULTON,Summary star rating,4,357,33,4/1/2016,3/31/2017,,
CARBONDALE,IL,140164,MEMORIAL HOSPITAL OF CARBONDALE,JACKSON,Summary star rating,4,554,24,4/1/2016,3/31/2017,,
CARLINVILLE,IL,141347,CARLINVILLE AREA HOSPITAL,MACOUPIN,Summary star rating,4,102,29,4/1/2016,3/31/2017,,
CARROLLTON,IL,141300,THOMAS H BOYD MEMORIAL HOSPITAL,GREENE,Summary star rating,0,FEWER THAN 50,42,4/1/2016,3/31/2017,,
CARTHAGE,IL,141305,MEMORIAL HOSPITAL,HANCOCK,Summary star rating,0,86,30,4/1/2016,3/31/2017,,
CENTRALIA,IL,140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,MARION,Summary star rating,4,381,22,4/1/2016,3/31/2017,,
CENTREVILLE,IL,140077,TOUCHETTE REGIONAL HOSPITAL INC,SAINT CLAIR,Summary star rating,3,129,13,4/1/2016,3/31/2017,,
CHESTER,IL,141338,MEMORIAL HOSPITAL,RANDOLPH,Summary star rating,4,160,42,4/1/2016,3/31/2017,,
CHICAGO,IL,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,COOK,Summary star rating,3,1706,18,4/1/2016,3/31/2017,,
CHICAGO,IL,140048,ADVOCATE TRINITY HOSPITAL,COOK,Summary star rating,2,835,13,4/1/2016,3/31/2017,,
CHICAGO,IL,140251,COMMUNITY FIRST MEDICAL CENTER,COOK,Summary star rating,2,412,23,4/1/2016,3/31/2017,,
CHICAGO,IL,140133,HOLY CROSS HOSPITAL,COOK,Summary star rating,1,358,9,4/1/2016,3/31/2017,,
CHICAGO,IL,140177,JACKSON PARK HOSPITAL,COOK,Summary star rating,1,317,12,4/1/2016,3/31/2017,,
CHICAGO,IL,140124,JOHN H STROGER JR HOSPITAL,COOK,Summary star rating,2,1312,10,4/1/2016,3/31/2017,,
CHICAGO,IL,140083,LORETTO HOSPITAL,COOK,Summary star rating,0,FEWER THAN 50,6,4/1/2016,3/31/2017,,
CHICAGO,IL,140082,LOUIS A WEISS MEMORIAL HOSPITAL,COOK,Summary star rating,2,516,24,4/1/2016,3/31/2017,,
CHICAGO,IL,140158,MERCY HOSPITAL AND MEDICAL CENTER,COOK,Summary star rating,2,912,14,4/1/2016,3/31/2017,,
CHICAGO,IL,140197,METHODIST HOSPITAL OF CHICAGO,COOK,Summary star rating,0,50,9,4/1/2016,3/31/2017,,
CHICAGO,IL,140018,MT SINAI HOSPITAL MEDICAL CENTER,COOK,Summary star rating,2,525,8,4/1/2016,3/31/2017,,
CHICAGO,IL,140281,NORTHWESTERN MEMORIAL HOSPITAL,COOK,Summary star rating,4,1144,22,4/1/2016,3/31/2017,,
CHICAGO,IL,140206,NORWEGIAN-AMERICAN HOSPITAL,COOK,Summary star rating,2,635,24,4/1/2016,3/31/2017,,
CHICAGO,IL,140117,PRESENCE RESURRECTION MEDICAL CENTER,COOK,Summary star rating,3,432,25,4/1/2016,3/31/2017,,
CHICAGO,IL,140224,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,COOK,Summary star rating,3,293,22,4/1/2016,3/31/2017,,
CHICAGO,IL,140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,COOK,Summary star rating,2,289,16,4/1/2016,3/31/2017,,
CHICAGO,IL,140300,PROVIDENT HOSPITAL OF CHICAGO,COOK,Summary star rating,0,66,11,4/1/2016,3/31/2017,,
CHICAGO,IL,140068,ROSELAND COMMUNITY HOSPITAL,COOK,Summary star rating,1,255,14,4/1/2016,3/31/2017,,
CHICAGO,IL,140119,RUSH UNIVERSITY MEDICAL CENTER,COOK,Summary star rating,3,2767,23,4/1/2016,3/31/2017,,
CHICAGO,IL,140095,SAINT ANTHONY HOSPITAL,COOK,Summary star rating,2,327,10,4/1/2016,3/31/2017,,
CHICAGO,IL,140181,SOUTH SHORE HOSPITAL,COOK,Summary star rating,2,238,13,4/1/2016,3/31/2017,,
CHICAGO,IL,140103,ST BERNARD HOSPITAL,COOK,Summary star rating,1,291,6,4/1/2016,3/31/2017,,
CHICAGO,IL,140114,SWEDISH COVENANT HOSPITAL,COOK,Summary star rating,3,507,17,4/1/2016,3/31/2017,,
CHICAGO,IL,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,COOK,Summary star rating,3,3296,18,4/1/2016,3/31/2017,,
CHICAGO,IL,140115,THOREK MEMORIAL HOSPITAL,COOK,Summary star rating,2,155,14,4/1/2016,3/31/2017,,
CHICAGO,IL,140150,UNIVERSITY OF ILLINOIS HOSPITAL,COOK,Summary star rating,2,462,9,4/1/2016,3/31/2017,,
CLINTON,IL,141303,WARNER HOSPITAL AND HEALTH SERVICES,DEWITT,Summary star rating,0,77,48,4/1/2016,3/31/2017,,
DANVILLE,IL,140093,PRESENCE UNITED SAMARITANS MEDICAL CENTER,VERMILION,Summary star rating,3,248,27,4/1/2016,3/31/2017,,
DECATUR,IL,140135,DECATUR MEMORIAL HOSPITAL,MACON,Summary star rating,3,974,28,4/1/2016,3/31/2017,,
DECATUR,IL,140166,ST MARYS HOSPITAL,MACON,Summary star rating,4,1137,28,4/1/2016,3/31/2017,,
DEKALB,IL,140286,KISHWAUKEE COMMUNITY HOSPITAL,DEKALB,Summary star rating,3,1115,30,4/1/2016,3/31/2017,,
DIXON,IL,140012,KATHERINE SHAW BETHEA HOSPITAL,LEE,Summary star rating,4,397,23,4/1/2016,3/31/2017,,
DOWNERS GROVE,IL,140288,ADVOCATE GOOD SAMARITAN HOSPITAL,DUPAGE,Summary star rating,4,2709,29,4/1/2016,3/31/2017,,
DU QUOIN,IL,141331,MARSHALL BROWNING HOSPITAL,PERRY,Summary star rating,4,105,25,4/1/2016,3/31/2017,,
EFFINGHAM,IL,140032,ST ANTHONYS MEMORIAL HOSPITAL,EFFINGHAM,Summary star rating,4,1404,38,4/1/2016,3/31/2017,,
ELDORADO,IL,141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,SALINE,Summary star rating,4,121,25,4/1/2016,3/31/2017,,
ELGIN,IL,140217,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,KANE,Summary star rating,3,310,35,4/1/2016,3/31/2017,,
ELGIN,IL,140030,SHERMAN HOSPITAL,KANE,Summary star rating,4,2041,25,4/1/2016,3/31/2017,,
ELK GROVE VILLAGE,IL,140258,ALEXIAN BROTHERS MEDICAL CENTER 1,COOK,Summary star rating,3,1460,29,4/1/2016,3/31/2017,,
ELMHURST,IL,140200,ELMHURST MEMORIAL HOSPITAL,DUPAGE,Summary star rating,4,906,23,4/1/2016,3/31/2017,,
EUREKA,IL,141309,ADVOCATE EUREKA  HOSPITAL,WOODFORD,Summary star rating,0,74,45,4/1/2016,3/31/2017,,
EVANSTON,IL,140010,EVANSTON HOSPITAL,COOK,Summary star rating,3,4910,30,4/1/2016,3/31/2017,,
EVANSTON,IL,140080,PRESENCE SAINT FRANCIS HOSPITAL,COOK,Summary star rating,2,390,19,4/1/2016,3/31/2017,,
EVERGREEN PARK,IL,140179,LITTLE COMPANY OF MARY HOSPITAL,COOK,Summary star rating,3,505,20,4/1/2016,3/31/2017,,
FAIRFIELD,IL,141311,FAIRFIELD MEMORIAL HOSPITAL 1,WAYNE,Summary star rating,0,91,35,4/1/2016,3/31/2017,,
FLORA,IL,141351,CLAY COUNTY HOSPITAL,CLAY,Summary star rating,0,92,23,4/1/2016,3/31/2017,,
FREEPORT,IL,140160,FHN MEMORIAL HOSPITAL,STEPHENSON,Summary star rating,3,623,27,4/1/2016,3/31/2017,,
GALENA,IL,141302,MIDWEST MEDICAL CENTER,JO DAVIESS,Summary star rating,5,102,48,4/1/2016,3/31/2017,,
GALESBURG,IL,140040,GALESBURG COTTAGE HOSPITAL,KNOX,Summary star rating,3,395,29,4/1/2016,3/31/2017,,
GALESBURG,IL,140064,ST MARY MEDICAL CENTER,KNOX,Summary star rating,4,317,29,4/1/2016,3/31/2017,,
GENESEO,IL,141319,HAMMOND HENRY HOSPITAL,HENRY,Summary star rating,5,484,36,4/1/2016,3/31/2017,,
GENEVA,IL,140211,DELNOR COMMUNITY HOSPITAL,KANE,Summary star rating,4,832,33,4/1/2016,3/31/2017,,
GIBSON CITY,IL,141317,GIBSON COMMUNITY HOSPITAL,FORD,Summary star rating,4,306,32,4/1/2016,3/31/2017,,
GLENDALE HEIGHTS,IL,140292,ADVENTIST GLENOAKS,DUPAGE,Summary star rating,3,266,14,4/1/2016,3/31/2017,,
GRANITE CITY,IL,140125,GATEWAY REGIONAL MEDICAL CENTER,MADISON,Summary star rating,3,588,32,4/1/2016,3/31/2017,,
GREENVILLE,IL,140137,GREENVILLE REGIONAL HOSPITAL,BOND,Summary star rating,4,118,26,4/1/2016,3/31/2017,,
HARRISBURG,IL,140210,HARRISBURG MEDICAL CENTER,SALINE,Summary star rating,3,201,23,4/1/2016,3/31/2017,,
HARVARD,IL,141335,MERCY HARVARD HOSPITAL,MCHENRY,Summary star rating,0,79,27,4/1/2016,3/31/2017,,
HARVEY,IL,140191,INGALLS MEMORIAL HOSPITAL,COOK,Summary star rating,2,709,28,4/1/2016,3/31/2017,,
HAVANA,IL,141313,MASON DISTRICT HOSPITAL,MASON,Summary star rating,0,FEWER THAN 50,26,4/1/2016,3/31/2017,,
HAZEL CREST,IL,140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,COOK,Summary star rating,2,1256,18,4/1/2016,3/31/2017,,
HERRIN,IL,140011,HERRIN HOSPITAL,WILLIAMSON,Summary star rating,3,651,26,4/1/2016,3/31/2017,,
HIGHLAND,IL,141336,ST JOSEPH'S HOSPITAL,MADISON,Summary star rating,5,232,38,4/1/2016,3/31/2017,,
HILLSBORO,IL,141332,HILLSBORO AREA HOSPITAL,MONTGOMERY,Summary star rating,0,66,32,4/1/2016,3/31/2017,,
HINSDALE,IL,140122,ADVENTIST HINSDALE HOSPITAL,DUPAGE,Summary star rating,4,2063,29,4/1/2016,3/31/2017,,
HOFFMAN ESTATES,IL,140290,ST ALEXIUS MEDICAL CENTER,COOK,Summary star rating,3,1690,29,4/1/2016,3/31/2017,,
HOOPESTON,IL,141316,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,VERMILION,Summary star rating,0,82,32,4/1/2016,3/31/2017,,
HOPEDALE,IL,141330,HOPEDALE HOSPITAL,TAZEWELL,Summary star rating,5,140,47,4/1/2016,3/31/2017,,
JACKSONVILLE,IL,140058,PASSAVANT AREA HOSPITAL,MORGAN,Summary star rating,3,450,27,4/1/2016,3/31/2017,,
JERSEYVILLE,IL,140059,JERSEY COMMUNITY HOSPITAL,JERSEY,Summary star rating,4,227,41,4/1/2016,3/31/2017,,
JOLIET,IL,140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,WILL,Summary star rating,3,458,25,4/1/2016,3/31/2017,,
KANKAKEE,IL,140155,PRESENCE ST MARYS HOSPITAL,KANKAKEE,Summary star rating,4,344,28,4/1/2016,3/31/2017,,
KANKAKEE,IL,140186,RIVERSIDE MEDICAL CENTER,KANKAKEE,Summary star rating,4,358,29,4/1/2016,3/31/2017,,
KEWANEE,IL,141325,OSF SAINT LUKES MEDICAL CENTER,HENRY,Summary star rating,0,81,29,4/1/2016,3/31/2017,,
LA GRANGE,IL,140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,COOK,Summary star rating,4,1583,30,4/1/2016,3/31/2017,,
LAKE FOREST,IL,140130,NORTHWESTERN LAKE FOREST HOSPITAL,LAKE,Summary star rating,4,377,28,4/1/2016,3/31/2017,,
LAWRENCEVILLE,IL,141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,LAWRENCE,Summary star rating,4,105,27,4/1/2016,3/31/2017,,
LIBERTYVILLE,IL,140202,ADVOCATE CONDELL MEDICAL CENTER,LAKE,Summary star rating,3,2209,22,4/1/2016,3/31/2017,,
LINCOLN,IL,141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,LOGAN,Summary star rating,4,144,28,4/1/2016,3/31/2017,,
LITCHFIELD,IL,141350,ST FRANCIS HOSPITAL,MONTGOMERY,Summary star rating,5,293,31,4/1/2016,3/31/2017,,
MACOMB,IL,140089,MC DONOUGH DISTRICT HOSPITAL,MCDONOUGH,Summary star rating,4,214,31,4/1/2016,3/31/2017,,
MARION,IL,140184,HEARTLAND REGIONAL MEDICAL CENTER,WILLIAMSON,Summary star rating,3,562,29,4/1/2016,3/31/2017,,
MARYVILLE,IL,140289,ANDERSON HOSPITAL,MADISON,Summary star rating,3,347,40,4/1/2016,3/31/2017,,
MATTOON,IL,140189,SARAH BUSH LINCOLN HEALTH CENTER,COLES,Summary star rating,4,780,26,4/1/2016,3/31/2017,,
MAYWOOD,IL,140276,LOYOLA UNIVERSITY MEDICAL CENTER,COOK,Summary star rating,3,3148,21,4/1/2016,3/31/2017,,
MCHENRY,IL,140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,MCHENRY,Summary star rating,4,2380,29,4/1/2016,3/31/2017,,
MCLEANSBORO,IL,141326,HAMILTON MEMORIAL HOSPITAL DISTRICT,HAMILTON,Summary star rating,2,122,31,4/1/2016,3/31/2017,,
MELROSE PARK,IL,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,COOK,Summary star rating,3,1105,23,4/1/2016,3/31/2017,,
MELROSE PARK,IL,140240,WESTLAKE COMMUNITY HOSPITAL,COOK,Summary star rating,2,520,30,4/1/2016,3/31/2017,,
MENDOTA,IL,141310,OSF SAINT PAUL MEDICAL CENTER,LA SALLE,Summary star rating,4,114,40,4/1/2016,3/31/2017,,
METROPOLIS,IL,141323,MASSAC MEMORIAL HOSPITAL,MASSAC,Summary star rating,4,193,31,4/1/2016,3/31/2017,,
MONMOUTH,IL,141318,OSF HOLY FAMILY MEDICAL CENTER,WARREN,Summary star rating,0,61,34,4/1/2016,3/31/2017,,
MONTICELLO,IL,141301,KIRBY MEDICAL CENTER,PIATT,Summary star rating,0,73,50,4/1/2016,3/31/2017,,
